IPAddress,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,PID,treatment,read timer_First Click,read timer_Last Click,read timer_Page Submit,read timer_Click Count,exp timer_First Click,exp timer_Last Click,exp timer_Page Submit,exp timer_Click Count,allocate1,allocate2,allocate3,timer token First Click,timer token Last Click,timer token Page Submit,timer token Click Count,why,timer why First Click,timerwhyLast Click,timerwhyPage Submit,timer whyClick Count,mancheck1,norms,norms timer_First Click,norms timer_Last Click,norms timer_Page Submit,norms timer_Click Count,EE1,belief timer First Click,belief timer Last Click,belief timer Page Submit,belief timer Click Count,RiskBattery_1,IE-4 LOC_1,IE-4 LOC_2,IE-4 LOC_3,IE-4 LOC_5,DUREL 1_1,DUREL 2,durel 3_1,durel 3_2,durel 3_3,heart,Age,politics,religaffil,otherreligion,arm,Total approvals,Age2,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67.181.240.24,516,8/24/26 11:09,R_5GKkuq2CQleGrOF,38.6967,-121.313,6a21e3b496f87d3bb1a07b46,cosmo,0,0,16.558,0,12.39,12.39,13.026,1,40,40,20,7.273,16.687,19.542,3,I gave 20 tokens to unknown for the creation of the universe because its possible that we may never really know how it came to be The 20 tokens represent that possibility I am a spiritual person but I also believe in science so I put 40 for the universe being a guiding design and 40 tokens being undirected origin meaning it could have been made from random events,1.423,1.423,244.694,1,2,4,20.838,37.67,39.314,2,35,6.761,18.276,19.714,3,60,1,4,4,2,3,3,1,2,2,1,39,50,1,I attend baptist churches sometimes I mainly do bible study and meditation at home now,2,790,39,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
38.68.37.193,429,8/24/26 11:17,R_6Ii036MYFWEmIIs,33.1032,-96.6706,6a26623dba3ca97e10bd6e4a,cosmo,0,0,2.111,0,0,0,1.783,0,70,15,15,3.065,15.142,16.748,5,I gave the most tokens to directed origin because I find the idea of purposeful design plausible especially given the historical reports of religious and transcendent experiences across different cultures I still left some tokens for an undirected origin because natural explanations remain possible and some for unknowable because the ultimate nature of the universe cannot be established with certainty,9.452,30.003,48.189,4,5,4,2.354,45.723,47.613,3,70,1.16,9.262,11.08,3,56,2,4,5,3,4,4,2,2,2,1,41,5,1,Protestant Christian,2,1567,41,Male,White,United States,United States,United States,English,No,Full-Time
86.109.80.125,809,8/24/26 11:16,R_3ld1RkWFQ0MryyR,34.3776,-81.0957,6a428d88ccd8917956db6a20,cosmo,0,0,35.678,0,0,0,12.768,0,35,45,20,13.985,89.798,92.601,11,Science has made a lot of interesting discoveries These discoveries indicate that the universe evolved over time to become what it is The big bang supports this There has been no significant discovery on the theory that there is a single powerful force behind our universe,1.643,427.577,481.028,5,1,3,3.572,11.688,12.803,2,70,9.965,9.965,11.375,1,71,4,4,5,2,4,1,5,5,5,1,34,14,2,Christian,2,968,33,Male,Black,United States,United States,DATA_EXPIRED,English,No,Full-Time
98.61.167.35,824,8/24/26 11:15,R_59vjVFCiu3S5Zax,45.0702,-93.4556,6a5a781b7a5da1703691947c,cosmo,0,0,14.661,0,0,0,3.423,0,100,0,0,6.967,64.341,75.742,3,I believe the universe requires guidance because its remarkable order complexity and fine tuning suggest intentional design beyond random laws pointing toward an intelligent Creator who sustains and directs it,131.769,161.791,260.007,3,5,1,27.575,59.907,61.9,2,40,17.274,17.274,19.918,1,70,1,5,5,3,31,6,1,1,1,1,31,0,1,Christianity I believe in Jesus and that He died on the cross for my sins so that I can become the righteousness of God,2,21,31,Female,Black,Nigeria,United States,Nigeria,English,No,Unemployed (and job seeking)
216.193.129.167,518,8/24/26 11:08,R_54gWFjqitVdxxdf,42.1293,-72.7522,55a55bd7fdf99b790558627c,placebo,50.537,50.537,50.845,1,0,0,21.625,0,0,100,0,4.748,32.244,36.063,4,Belief in a higher power is a man made construct created to explain existence when science was unevolved Over time science has provided the big bang theory and Darwinism to replace creationism,0.852,0.852,221.169,1,1,5,3.822,17.054,17.81,2,45,11.455,11.455,12.793,1,80,1,5,5,1,0,1,5,5,5,1,47,90,10,non religious,3,9618,47,Female,White,United States,United States,United States,Esperanto,No,Full-Time
97.87.4.154,607,8/24/26 11:06,R_1KUXVXDpXQDPRAo,43.1899,-89.2185,566a3e0e7da0350012b3ec49,placebo,0,0,311.163,0,0,0,47.556,0,0,45,55,9.777,13.129,14.374,3,I really dont believe in a planned design to the universe however I will contend that Im not as strong a proponent of there being no plan conceding that I really dont know what the true answer actually is,1.2,1.2,69.48,1,2,4,10.529,16.707,17.563,2,45,6.866,8.983,9.417,2,59,2,4,4,2,0,1,5,5,5,1,49,88,11,Im agnostic I dont think I can really now if theres a God or not,3,12710,50,Male,White,United States,United States,United States,English,No,Full-Time
160.3.117.84,393,8/24/26 11:06,R_1PaUE8uVUuxrC1Y,33.6387,-96.6153,57a5d5fd25cb71000128c0b5,placebo,17.88,45.938,49.001,4,0,0,23.314,0,0,50,50,8.545,16.776,17.957,8,Ultimately I believe the answer is completely unknowable but I personally think there is no higher power or any entities controlling us I think there are scientific explanations for most things even if we arent aware of them yet,6.974,118.344,119.124,4,3,5,9.617,17.282,18.039,5,65,12.424,15.653,16.2,3,15,3,3,3,3,0,1,5,5,5,1,48,51,10,currently atheist but raised roman catholic,3,1670,48,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
108.231.174.86,334,8/24/26 11:02,R_1E13iMYH218A89j,33.8656,-84.0725,5a8cba1a8fe2dc00010643f0,placebo,0,0,24.833,0,0,0,15.451,0,100,0,0,11.722,11.722,17.675,1,I believe that God ordered the universe all the way down to human construction and bodily functions He deliberately created our blood cells and blood stream to work exactly as he intended That is why I distributed my tokens the way that I did,1.43,1.43,112.131,1,1,1,5.146,20.475,21.747,3,30,7.199,7.199,11.423,1,41,2,2,4,2,28,6,1,1,1,1,64,60,1,I attend a Baptist church but I do not consider myself a Baptist I consider myself a Christian,3,2123,64,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
50.223.225.182,290,8/24/26 11:03,R_19PEcBbjnSVo4dr,41.151,-85.1247,5bce2c5253de59000184642a,placebo,0,0,16.397,0,0,0,8.993,0,0,70,30,10.219,20.171,21.627,5,What I have learned in my study of various sciences suggests that the universe is governed by a series of laws that appeared randomly but operate in an orderly and comprehensible fashion If we were able to gather sufficient data and had a sufficiently large computer we would completely understand and predict the behavior of the physical world,3.034,3.034,126.12,1,4,5,5.193,13.837,14.49,2,15,7.731,11.08,12.105,2,25,2,3,4,2,0,1,5,5,5,1,44,100,11,Agnosticism,3,8065,44,Male,White,United States,United States,United States,English,No,Full-Time
96.58.156.194,288,8/24/26 11:01,R_1CfOynBDac7pGF2,28.1131,-81.6241,5c1b9212bfd9220001a9ada0,placebo,13.177,13.177,18.312,1,0,0,12.178,0,10,20,70,24.396,24.396,36.437,1,I decided to give most tokens to the unknowable option because I found that the evidence could prove whether the universe has a purposeful origin I just dont see it so far,8.498,8.498,89.243,1,5,1,3.988,16.739,18.174,2,71,1.744,6.914,8.024,2,92,1,4,5,2,0,1,5,5,5,1,34,1,2,Catholic,3,14172,35,Male,White,United States,United States,United States,English,No,Full-Time
172.56.41.187,329,8/24/26 11:05,R_1IW8VYYs5YtUy8t,30.2625,-97.7463,5c476621b521ee00019abf67,placebo,3.643,32.159,32.701,3,0,0,18.835,0,20,0,80,7.201,17.318,18.046,5,I think the universe may be designed by a super intelligence but I cannot be sure This may be outside of human comprehension,2.969,2.969,60.357,1,2,4,19.6,30.346,31.534,5,62,5.693,5.693,6.388,1,25,2,4,3,3,0,4,2,4,5,1,67,100,13,Pagan,3,9206,67,Female,White,United States,United States,United States,English,No,Part-Time
70.186.204.51,271,8/24/26 11:08,R_1n7ryjlYaG9BXFB,37.4138,-76.5255,5cb4df991ac046000177a887,placebo,0,0,33.28,0,0,0,11.801,0,44,44,12,7.631,19.599,21.613,3,there is a percentage of chance luck happenstance and cosmic alignment that allows this process its ability to function however that is just a feeling a lot of minds share throughout history and time there is a lot of unknown to this as well but not as much as people give Credence to the other two options,1.727,64.907,74.194,4,2,3,4.115,11.793,12.409,2,30,10.52,10.52,10.703,1,70,3,4,5,2,0,1,4,4,4,1,30,79,13,spiritual,3,1736,30,Male,White,United States,United States,United States,English,No,Full-Time
66.227.188.94,565,8/24/26 11:11,R_7f1jLYbzgFhPFWM,46.4151,-84.2854,5ceb685da7afdc00166f8391,placebo,19.245,24.288,38.297,3,0,0,18.012,0,15,80,5,18.925,27.893,28.383,5,I believe there is a wealth of evidence that supports evolution and the science behind the things in our universe There are moments of uncertainty that creep in through moments in life that feel like divine intervention Thus a majority of my support valued laws of nature with some doubt and support towards a higher creator,0.937,0.937,191.77,1,4,2,7.968,56.532,57.347,8,45,17.214,19.787,20.92,3,50,2,3,4,1,0,1,3,3,5,1,40,51,13,Spiritual I am Native American and value the teaching of our culture,3,3309,40,Male,Mixed,United States,United States,United States,English,No,Full-Time
74.209.112.145,274,8/24/26 11:08,R_5LaPGl7XVaDOvwb,34.2153,-83.4503,5d7085f70a426200186bc676,placebo,0,0,11.664,0,0,0,5.89,0,90,9,1,5.025,5.025,12.907,1,I think we know a lot about it There is probably something that we will never know about the topic I think there is more we can learn about the topic so I put some points in there I think for the major majority though we know most of what there is to know about it,1.993,45.925,46.991,2,4,2,87.804,97.965,98.855,4,90,9.981,11.133,11.632,2,4,3,3,5,3,0,1,1,1,1,1,31,50,1,Baptist,3,4812,31,Male,White,United States,United States,United States,English,No,Full-Time
73.232.68.71,306,8/24/26 11:05,R_19MlTG4LLfN5Aw9,29.8627,-95.5846,5e065e526f6c630616d4983a,placebo,0,0,35.9,0,0,0,15.251,0,20,30,50,4.666,16.189,20.163,3,I believe in science and the Big Bang While the universe could have some order that is also an unknown We are only here and bigger ideals like destiny and fate are always in flux I dont think I can pray to someone or something and change that,1.95,1.95,78.253,1,4,4,5.016,13.064,15.609,3,24,9.646,9.646,10.661,1,28,2,3,3,4,0,1,3,5,5,1,41,100,11,Agnosticism,3,2441,41,Female,White,United States,United States,United States,English,No,Part-Time
174.203.4.168,336,8/24/26 11:08,R_3LzMEvIvYy7iPQa,29.6673,-95.3724,5e076480c4e1550e2114f006,placebo,0,0,9.812,0,0,0,9.731,0,100,0,0,9.567,9.567,12.164,1,I gave all my tokens to directed origin because I believe the order complexity and purpose seen in life point to a creator nature follows rules and I do not think those rules came from nothing,17.605,42.077,43.69,6,1,2,7.619,8.976,10.186,2,50,11.103,11.103,11.98,1,50,1,4,3,4,4,6,2,2,2,1,49,0,1,Non denominational Christian,3,9157,49,Male,Mixed,United States,United States,United States,English,No,Full-Time
73.94.172.169,772,8/24/26 11:11,R_6MFhJNQAUzeDrC1,44.9402,-93.2188,5e9e0b9cb133cb1a9a472677,placebo,0,0,62.472,0,0,0,20.677,0,98,1,1,12.949,19.243,24.168,5,The universe came from somewhere Even if it created itself that would be its creation Its direction would also appear to be balanced in every direction keeping things in orbit And the occasional comet or meteorite insures things are never still,18.903,18.903,329.583,1,1,4,16.492,40.237,41.597,3,75,16.122,33.356,35.896,12,1,2,4,4,3,4,6,1,1,1,1,56,49,1,Southern Baptist,3,2871,56,Male,White,United States,United States,United States,English,No,Full-Time
76.98.79.23,915,8/24/26 11:14,R_7PYlYgK82qkVwfo,40.6129,-74.416,5f2732c17f64f043dd83bdbb,placebo,3.335,3.335,45.981,1,5.683,5.683,14.894,1,50,50,0,5.98,104.427,105.151,19,The universe is either directed by a higher power or it is undirected One of these two options is true Therefore I divided all my tokens on these two options Since it is not certain which is true I gave 50 tokens to each to represent a 50% probability since I see both as being equally likely to be true,4.797,360.479,450.344,24,3,4,8.321,21.298,32.427,2,30,15.873,15.873,19.012,1,30,3,2,4,2,0,1,5,5,5,1,40,90,11,Agnostic,3,6942,40,Male,Mixed,Dominican Republic,United States,United States,English,No,Full-Time
73.163.138.253,994,8/24/26 11:20,R_3NDupxUxRxeYa8p,39.3127,-76.581,5fa4c21a04bc5912180291bc,placebo,0,0,38.618,0,0,0,12.997,0,97,2,1,2.4,29.402,34.082,5,as cute and funny as it is to be some Roving Misanthropic classic Atheist Anarchist unfortunately many signs point towards the reality there was an architect somewhere along the process as otherwise i believe it too easy for chaos entropy to have its way and rent just about everything asunder of course even Chaos itself has to have an order to it right with all that said just because i believe there was once a Guiding Architect does not confer my also believing in the traditional classic Deities of Orthodocy i had long since been disabused of that notion decades ago and i was especially thankful when i heard someone posit that its perfectly cromulent for folks whose average education level and understanding of The World Around Them was piss poor to believe in superstitions and fairy tales especially to explain That which for many who are Uninitiated can reasonably strike them as Divine Miracles i had a further theory of my own later given that mental illness has been around and with us since time immemorial the visions sightings some people had which they happened to record likely were vestiges of this as it is also so some people with visual perceptual impairments as well can have mis took certain things they thought they saw or heard and construe it into Something Else anyway theres too much order structure in this universe for me to believe it can all be attributed to sheer gross Coincidence Random Chance,8.312,570.616,695.52,7,3,2,13.475,20.557,22.48,2,95,17.931,17.931,20.694,1,47,5,2,3,5,0,1,4,1,1,1,44,50,11,a pastiche of agnostic and atheist anti orthodocy probably,3,13051,44,Male,Black,United States,United States,United States,English,Yes,DATA_EXPIRED
66.213.29.211,512,8/24/26 11:07,R_301auVyoopUKUAp,39.9914,-83.0034,5fb865ade47b465ad43580d9,placebo,0,0,54.552,0,0,0,25.637,0,70,10,20,77.87,87.486,88.515,3,I distributed them based on what I feel is the most logical outcome I believe that one is more likely than the other and believe that the number of tokens associated with it should align,11.267,65.371,66.921,2,2,4,17.137,32.752,41.135,2,65,11.884,19.469,20.404,2,70,1,5,4,3,1,1,2,4,4,1,42,65,2,catholic,3,6485,41,Male,Black,United States,United States,United States,English,No,Full-Time
98.40.137.125,374,8/24/26 11:04,R_1aIuEsY37cL9INk,29.7223,-95.6285,6010c31eeb191c464a4c134d,placebo,0,0,21.073,0,0,0,16.001,0,33,33,34,4.319,8.37,16.054,4,I think that the origin of the universe is multi faceted and maybe unknowable I know a lot of different cultural and religious creation stories as well as some eighth grade level physics and astronomy I watched a lot of those big bang documentaries when I was younger For this reason I wanted to allocate all of my token evenly However 100 isnt perfectly divisible by three so I added an additional token to the unknown category to represent my own inconclusive thoughts,2.325,162.998,174.338,10,3,4,4.111,12.749,14.192,2,66,9.711,9.711,10.573,1,40,2,4,3,3,0,5,3,3,3,1,29,70,12,I would like to keep this private,3,1713,29,Female,Black,United States,United States,United States,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
199.48.94.96,354,8/24/26 11:08,R_5Cg2QMcxnXCkFOu,44.0484,-92.4948,607668ac450fc6e3025a131d,placebo,31.947,31.947,39.584,1,2.439,2.439,5.802,1,10,35,55,2.006,25.832,26.512,5,I chose unknowable the highest since current evidence cannot prove either explanation Natural laws support an undirected origin but unanswered questions leave some possibility for purposeful design so I kept uncertainty highest,3.227,105.874,114.447,4,1,4,1.033,21.016,22.462,5,30,2.774,14.302,15.13,2,25,2,3,3,3,0,1,3,3,4,1,50,25,8,buddhist,3,12124,50,Male,Asian,China,United States,United States,Chinese,No,Full-Time
68.51.2.86,470,8/24/26 11:07,R_5EWiuGgGlBSNQqb,41.151,-85.1247,607dd554d9ec5e0fd85237cb,placebo,0,0,53.738,0,0,0,33.534,0,0,99,1,10.53,31.648,35.271,7,Given the observable universe and the laws that we have empirically determined to govern it I find an overwhelming belief that the universe and all natural things within it are a result of processes which are neither created by nor guided by any higher power However given that we cannot travel to or observe the entirety of what must exist beyond our capabilities on Earth it is logical to leave the smallest possibility open that an external entity could theoretically exist,2.014,136.95,157.163,3,1,5,12.902,19.705,20.661,2,70,12.647,13.019,16.324,2,11,4,2,3,2,0,1,5,5,5,1,44,82,10,Atheist,3,1465,44,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
38.165.156.121,430,8/24/26 11:08,R_6TIL9UgfNoUyiOd,38.6711,-96.9425,608bfa04767191aa4d57bfd8,placebo,7.159,36.927,37.657,4,2.173,33.948,34.611,4,50,25,25,16.919,44.167,46.359,7,I felt that since it is known that red blood cells circulate for 120 that a higher number of 50 should be given to the known and the unknown I gave an equal amount of 25 to both of the unknown because they are still important,1.099,83.227,133.501,5,4,2,10.682,14.851,16.083,2,79,11.032,11.032,14.952,1,20,2,4,4,2,2,5,1,1,1,1,43,40,1,Baptist,3,26117,43,Female,White,United States,United States,United States,English,No,Full-Time
174.216.2.172,399,8/24/26 11:02,R_64EPjyfeNXQBG01,35.2843,-80.76,6096ee4ed5f41e6e17598ec9,placebo,0,0,27.658,0,0,0,20.833,0,70,20,10,16.11,25.959,34.846,3,I believe there is a designer or something that created the universe or Directed Origin I do not believe the universe was created at random or by physics alone There is a creator of some form I guess we can call it god,1.266,1.848,99.34,2,3,4,24.778,34.24,40.045,2,80,8.506,8.506,14.623,1,60,2,1,5,4,0,1,2,2,2,1,43,0,5,Christian,3,6267,43,Male,Mixed,United States,United States,Mexico,English,No,Part-Time
47.6.43.103,857,8/24/26 11:14,R_3q99HxapRiWHqA1,47.2439,-88.4588,60a202f048762ada5381474a,placebo,0,0,237.485,0,0,0,44.676,0,100,0,0,17.905,30.049,39.407,4,I think of God when I see this question I believe there ius a GOD and he made us and everything around us I feel him watching over us,8.547,76.186,121.54,5,4,4,8.02,36.595,37.676,2,80,13.496,13.496,14.684,1,85,1,4,5,2,6,4,1,2,4,1,55,50,2,Roman Catholic or rather I believe in God and talk top him regularly but I dont think he takes attendance,3,5241,55,Female,Mixed,United States,United States,United States,English,No,Full-Time
143.105.191.52,756,8/24/26 11:30,R_1Q4cBPbyQoT0HTP,39.0469,-77.4903,60b96835d5cbb2261c7fd22c,placebo,0,0,229.746,0,0,0,28.305,0,40,60,0,21.366,70.729,74.945,5,The cycle of red blood cells seems to be naturally occuring in the human body but Im not sure what it means as far as the universe goes,3.452,3.452,80.054,1,2,2,6.828,19.401,22.439,2,48,25.81,25.81,27.297,1,29,4,3,3,4,0,1,4,5,4,1,50,42,11,Agnostic,3,3526,50,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
174.177.136.10,1147,8/24/26 11:18,R_1SpHBLf4osVeUyB,32.8445,-79.8242,60b98567e2d17c3d44747f61,placebo,0,0,144.21,0,0,0,25.503,0,70,10,20,24.302,46.853,49.072,5,I feel that its not up to us to determine what the universe has in store for us I do believe in God and there being His higher power and with that its His will that will decide what happens,1.788,1.788,116.983,1,3,4,16.183,23.413,24.002,3,32,12.578,12.578,13.252,1,23,1,5,4,2,0,5,4,4,4,1,36,100,1,I am a believer in God and that His will is what will happen I do my best to be a good person I pray to Him and believe He take care of us,3,1975,36,Female,Black,United States,United States,United States,English,No,Full-Time
107.131.156.94,431,8/24/26 11:05,R_3MT34RIVLdRJEia,30.3963,-95.194,620297d1ef1cb18a1337c19a,placebo,0,0,43.838,0,0,0,23.186,0,5,15,80,13.588,25.74,33.699,3,I think that it is most likely that we will never know or never have the skills technology to even begin to try to conceptualize let alone understand the makings of the universe What little we do understand of it points to entropy and natural phenomena that we dont know why they happen I do suspect that the universe has its own guiding design in that I think somehow the universe seeks to understand itself but I definitely dont believe that there is a God like being who controls everything,2.256,2.256,143.703,1,4,5,5.488,17.489,21.949,2,75,10.721,10.721,14.895,1,20,2,4,4,2,0,1,5,5,5,1,33,88,10,Atheist,3,2904,33,Female,White,United States,United States,United States,English,No,Part-Time
47.187.75.219,487,8/24/26 11:09,R_5co0yv4kA9NGYyt,33.0176,-96.9926,628f7e982aad1788d940317a,placebo,0,0,63.71,0,0,0,37.66,0,100,0,0,16.984,17.048,21.535,2,I only see one possible answer so I gave all my tokens to it I think it is clear that there is a directed cause of all life as seen in the complex designs in all life,2.034,2.034,82.097,1,4,1,6.403,14.539,20.897,3,35,9.368,19.167,21.996,2,10,1,5,3,4,5,6,2,1,1,1,72,10,1,I am a Born Again Christian but dont belong to a certain denominational church,3,20554,72,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64.53.179.61,513,8/24/26 11:14,R_7cWafpPZNVkllW9,41.946,-87.7033,631a0df4bc4837f7780de22a,placebo,0,0,55.291,0,0,0,19.276,0,40,35,25,4.454,28.47,34.369,4,I believe there must have been a directed origin to the universe due to the fact that most if not all of the universe seems a bit too perfect to be a coincidence or luck Although many things are up to chance I feel that from what we know the uncertainty leads to believe that there is a higher deliberate mind behind the universe However there is always doubt of there being any higher deliberate mind to exist as there lacks further evidence,16.87,140.468,144.201,2,1,4,37.671,63.126,67.532,3,50,17.324,17.324,20.542,1,20,2,4,5,1,0,1,5,5,5,1,26,100,2,Roman Catholic,3,712,26,Male,White,United States,United States,Mexico,English,No,Part-Time
45.50.41.112,231,8/24/26 11:01,R_1PLCB9tvwe6hCE9,34.2666,-118.7643,633c74ad6178784ed5b52104,placebo,7.234,7.234,9.879,1,0.472,3.679,5.89,3,10,60,30,8.181,20.754,21.184,7,I thought about what felt right to me in the moment and allocated points accordingly I allocated points based on how true I thought each statement could be and based on my intuition,0.957,75.285,81.98,6,4,3,3.097,8.577,11.202,3,30,6.72,6.72,8.314,1,70,2,5,4,4,0,1,5,5,5,1,29,90,11,Agnostic,3,14823,29,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
172.59.28.93,770,8/24/26 11:11,R_6g88nHTS5tPVMbJ,41.4385,-81.7398,63d02c1f6a00a2ad12d30a83,placebo,0,0,78.313,0,0,0,40.447,0,5,50,45,19.403,43.794,52.326,19,The entire framework is because of humans on this planet which is a negligible speck compared to the size and content of the universe Almost all the events in the universe occur according to the laws of physics yet the beginning is unknown,24.321,24.321,345.22,1,3,4,5.977,18.569,22.534,2,25,13.349,13.551,15.002,2,45,2,4,5,2,0,5,3,4,4,1,53,50,12,Hinduism,3,4888,53,Male,Asian,Nepal,United States,Nepal,Nepali,DATA_EXPIRED,Part-Time
96.255.194.122,364,8/24/26 11:02,R_5be6Mp5RePKlJFD,38.867,-76.8173,63d16095e853005ff591b9a1,placebo,0,0,36.602,0,0,0,14.544,0,100,0,0,3.976,14.733,17.656,4,From a purely belief standpoint I strongly believe that the universe was constructed by a higher power I know there are studies and physics and scholarly explanations for why things are how they are but a supreme being put these laws and science into effect Nothing can steer me from the belief that God created all,4.239,4.239,123.798,1,3,4,4.931,17.655,20.014,3,30,13.875,13.875,15.398,1,1,3,2,3,3,4,5,2,2,1,1,44,82,1,christianity,3,7117,44,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
71.126.88.42,215,8/24/26 11:06,R_3ydrarV6LF8vpdv,40.1843,-75.538,63f7870b7fabda95fb6586d0,placebo,0,0,25.727,0,0,0,12.743,0,0,90,10,13.193,30.135,31.949,7,There is no grand hand directing what outcomes manifest and what dont The reason red blood cells take as long as they do is simply because,1.024,1.024,46.22,1,2,5,4.576,10.182,10.733,2,20,6.736,6.736,8.083,1,60,4,4,3,1,0,1,5,5,5,1,28,100,10,Atheist,3,2086,28,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
47.201.203.210,462,8/24/26 11:06,R_1FEV5e8GIgAXHbQ,27.818,-82.734,6432f18596ae4ff3c97a87ba,placebo,0,0,35.355,0,0,0,113.549,0,100,0,0,19.358,20.23,22.863,2,I distribute the tokens in that way because there is a high power that created everything Nothing comes from nothing and He the Almighty created everything,3.706,64.242,65.5,5,5,1,8.063,16.836,18.474,2,100,7.019,7.019,8.563,1,82,1,5,5,1,0,3,1,1,1,1,55,1,2,I am Catholic I believe in God the Holy Trinity the Saints and the communion and purgaroty,3,2701,55,Female,White,Puerto Rico,United States,Puerto Rico,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
72.197.118.71,1120,8/24/26 11:16,R_1jdJDZcZK6UVTeJ,32.5799,-117.0694,6509bd2dd6e135ced062c241,placebo,21.006,62.212,65.146,3,31.97,31.97,34.138,1,0,50,50,72.176,108.352,109.965,4,I do not really believe in the Big Bang Theory of Universe creation I think that we and all creation exist because of some other unknown Higher creation But I am not sure We are somehow all connected and we are trying really hard to figure it all out We have given the will to construct and create are own ideas and theories around own existence Just like we created Time But most of what we create is all manmade womanmade I gave 50 % to what we have discovered and know but I think there is still 50 % we do not know,67.411,67.411,578.207,1,5,4,11.003,25.435,26.972,3,80,33.813,36.295,37.839,2,62,2,5,5,1,8,4,1,2,2,1,61,57,5,I believe in Christian but I think many are really the same,3,3461,61,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
98.97.81.109,476,8/24/26 11:04,R_6QhQqQCxjQrKt0q,32.7797,-96.8022,650da967bd0f006226aa1d7a,placebo,0,0,27.989,0,0,0,46.805,0,20,40,40,38.216,38.216,55.984,1,I believe there is something bigger that has a design for everything but I dont believe that someone wrote a book to tell us exactly how to live There are guidelines and thats how it should be used,3.79,86.178,86.876,2,3,5,6.727,21.228,30.664,3,35,21.137,25.964,26.923,2,55,2,3,4,5,0,1,2,3,2,1,55,20,1,Lutheran,3,1827,55,Female,White,United States,United States,United States,English,No,Part-Time
74.196.85.225,702,8/24/26 11:11,R_1i54Ln47jrQT8pO,35.8546,-77.0555,655e98505bee9eca1beeb734,placebo,0,0,54.103,0,0,0,18.697,0,100,0,0,17.725,25.341,30.206,4,There is a specific origin of the universe and it is God He created ALL THINGS He spoke them into existence All things come from His mind and design,9.378,9.378,132.299,1,3,1,21.942,40.619,46.108,3,70,25.582,25.582,28.901,1,80,3,4,5,3,28,6,1,1,1,1,62,40,1,Non denominational Christian,3,2201,62,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
24.193.66.248,575,8/24/26 11:10,R_7a8ELLpn3WGL9ls,40.7105,-73.7394,65ca9c729a13f898ae374552,placebo,2.443,26.123,27.52,5,0,0,20.669,0,100,0,0,84.984,90.063,90.819,4,I believe that everything has a purpose So things are directed by God,144.336,186.524,200.514,3,5,2,11.139,27.59,28.454,9,65,10.345,12.966,13.849,3,40,3,2,4,3,31,6,5,5,5,1,38,26,1,Christian,3,4402,38,Female,Black,United States,United States,United States,English,No,Other
65.190.240.242,344,8/24/26 11:02,R_1YVNKGI2bIXeq2Z,35.4155,-80.6143,65cf6bcf11dca2196c5f9156,placebo,0,0,30.829,0,0,0,64.486,0,0,0,100,40.078,40.078,44.332,1,I am absolutely uncertain on the correct answer to this question and I dont think anyone can definitively answer it so placed all my tokens on my choice,2.278,2.278,43.322,1,2,2,4.68,25.115,27.556,3,30,7.33,10.314,11.382,3,30,1,5,5,4,0,5,2,4,4,1,65,100,2,Raised Roman Catholic spiritual but not religious,3,5984,65,Female,White,United States,United States,United States,English,No,Full-Time
142.204.233.104,297,8/24/26 11:09,R_6pY3qwaalhXgU6J,40.8088,-91.1114,65ecc3670bbda5b4fb282ce1,placebo,2.002,2.002,2.762,1,0,0,1.231,0,20,30,50,1.077,11.853,12.463,7,I am a little religious I also believe we control our own destiny and their is scientific evidence that supports evolution,1.572,1.572,48.979,1,4,4,10.143,16.132,16.704,3,30,30.083,30.083,30.934,1,50,2,3,4,3,0,2,2,2,3,1,57,50,1,I dont really follow any religion presently more spiritual,3,4877,57,Female,White,United States,United States,United States,English,No,Full-Time
